id,cover,genres,name,platforms,summary,url,first_release_date,involved_companies
343287,"{'id': 456966, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co9sli.jpg'}","[{'id': 32, 'name': 'Indie'}]",Radley Ravencroft's Spy Web Mystery,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Follow a murder investigation in this point & click 1920s murder mystery. Solve room escape style lock puzzles to unlock Radley's interviews with the suspects. Use your newfound information to draw connections between characters, and fill out a timeline of events.",https://www.igdb.com/games/radley-ravencrofts-spy-web-mystery,1746921600.0,
368745,"{'id': 490457, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/coaift.jpg'}","[{'id': 2, 'name': 'Point-and-click'}, {'id': 12, 'name': 'Role-playing (RPG)'}, {'id': 32, 'name': 'Indie'}, {'id': 34, 'name': 'Visual Novel'}]",Welcome to Chirpvenience,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","In Welcome to Chirpvenience!, take on a short-term part-time job at a small-town convenience store and spend a week in Lark Town. Through a first-person perspective, experience cozy, humorous, and surprising everyday life!",https://www.igdb.com/games/welcome-to-chirpvenience,,
182551,"{'id': 376142, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co828e.jpg'}","[{'id': 13, 'name': 'Simulator'}, {'id': 32, 'name': 'Indie'}]",A Bright Light in the Middle of the Ocean,"[{'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","climb to the top of a lighthouse, watch the sunset, look at the stars",https://www.igdb.com/games/a-bright-light-in-the-middle-of-the-ocean,1504310400.0,
89088,"{'id': 179131, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co3u7v.jpg'}","[{'id': 10, 'name': 'Racing'}, {'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}, {'id': 15, 'name': 'Strategy'}, {'id': 32, 'name': 'Indie'}]",Critical Gravity,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","A challenging, physics based, racing simulator for VR and PC.",https://www.igdb.com/games/critical-gravity,1577836800.0,"[{'id': 149225, 'company': {'id': 19318, 'name': 'Moga Creative'}}]"
372698,"{'id': 497282, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/coanpe.jpg'}","[{'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}]",Kin:d Barabin's Expedition,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","Join the Bean-shaped Explorer on a mysterious adventure! Journey through different villages, make new friends, and solve extraordinary mysteries together. A tale of friendship and growth, KIN:D Barabin's Expedition.",https://www.igdb.com/games/kin-d-barabins-expedition,,
48386,"{'id': 265457, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co5ott.jpg'}","[{'id': 8, 'name': 'Platform'}, {'id': 31, 'name': 'Adventure'}]",Mighty Atom,"[{'id': 99, 'name': 'Family Computer'}]","Tetsuwan Atom is an action game developed by Home Data and published by Konami for the Famicom in Japan early on in 1988. The game stars Tetsuwan Atom, a popular early anime character who is better known as Astro Boy outside of Japan. Tetsuwan Atom was originally created in 1951 by Osamu Tezuka. The successful series started as a comic strip and was turned into a black and white animated series in 1963. It was one of the first (if not the first) animated TV series produced in Japan, and has influenced countless Japanese animated series that followed. The little robot-boy is one of Japan's most recognizable character. The story takes place in the future, at a time where humans and robots live together in harmony. The powerful robot-boy Atom lives with Professor Ochanomizu, an old scientist who takes good care of the little robot, and helps him fight crime and injustice. One day, burglars break into Professor Ochanomizu's lab and steal all of his money. It is now Atom's duty to recover the stolen loot.",https://www.igdb.com/games/mighty-atom,575337600.0,"[{'id': 161115, 'company': {'id': 2072, 'name': 'Home Data'}}, {'id': 161116, 'company': {'id': 129, 'name': 'Konami'}}]"
270152,"{'id': 354564, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co7ll0.jpg'}","[{'id': 12, 'name': 'Role-playing (RPG)'}, {'id': 13, 'name': 'Simulator'}, {'id': 15, 'name': 'Strategy'}, {'id': 32, 'name': 'Indie'}]",Spaceport Trading Company,"[{'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","Players take on the role of a spacefaring merchant in a galaxy filled with diverse planets, each with its own economy, resources, and challenges. Amass wealth and reputation by trading goods, negotiating with factions, and navigating the intricacies of interstellar commerce.",https://www.igdb.com/games/spaceport-trading-company,1699315200.0,"[{'id': 267750, 'company': {'id': 52051, 'name': 'Digital Tectonics'}}]"
309094,,"[{'id': 12, 'name': 'Role-playing (RPG)'}]",Lethal RPG Destiny: Rebirth,"[{'id': 82, 'name': 'Web browser'}]","Lethal is reborn in this remake of one of my most popular rpgs. You play as Lethal, a half demon half human who once ruled a kingdom. However the human race rallied together and destroyed him. Now he's back and he's got revenge on his mind. Conquer the map and reclaim your kingdom in this turn based rpg.",https://www.igdb.com/games/lethal-rpg-destiny-rebirth,1251763200.0,
249859,"{'id': 315749, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co6rmt.jpg'}","[{'id': 32, 'name': 'Indie'}, {'id': 34, 'name': 'Visual Novel'}]",J-Town: A Visual Novel,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","A friendly crash course in Japanese American history, culture, and community! Inspired by the real stories of the three historic Japantowns of California: San Francisco, San Jose, and Los Angeles's Little Tokyo.",https://www.igdb.com/games/j-town-a-visual-novel,1684368000.0,
20386,"{'id': 99911, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co253b.jpg'}","[{'id': 14, 'name': 'Sport'}]",Mario's Tennis,"[{'id': 87, 'name': 'Virtual Boy'}]","Mario's Tennis is a tennis game that was released as a launch title for the Virtual Boy. It is the first tennis-related Mario game, and would later be followed by the Mario Tennis series. You get to choose from seven different characters, all with different ability levels, to play against each other in either singles or doubles matches. You can also play in an exhibition or tournament mode.",https://www.igdb.com/games/marios-tennis,806284800.0,"[{'id': 97900, 'company': {'id': 1809, 'name': 'Nintendo R&D1'}}, {'id': 97899, 'company': {'id': 70, 'name': 'Nintendo'}}, {'id': 97901, 'company': {'id': 321, 'name': 'Tose'}}]"
